genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2, seed
"[101]HcNNcRzcnPdGPcccyycQfyipcaweIcOaBNiJjRdPhKcmhfMmwNefGechLJlCuercIcEammPBncuAlaoocQascFAtjHLjroKcPPvcr",1.18305e+29,1.18305e+29,322,0.666662,7.52427e+08,2.50813e+08,5.01615e+08,2.50813e+08,2.50813e+08,0,2.50813e+08,2.50813e+08,2.50813e+08,2.50813e+08,5.01615e+08,2.50802e+08, 38
"[100]HCHynClCjBkBFBmwFDrExFpRtOIEcPfdcccfcfcBcEoKDajwbhbPHxPpiQpjjieMHcQAJorxcwOaNtqfKaHpQrJHOqRnpqMfpJid",1.18305e+29,4.86173e+06,627,0.663575,1617,544,1073,544,544,0,544,544,1073,529,544,544, 39
"[84]uoxkPyHfQQqccwJMvcPcNpaHEDkCeKqAGfORvJCzbuxDGghetHcRwbMdcNcwveIcuNccMclxcKOshcwcccbe",1.18305e+29,6018.53,378,0.661146,1449,491,958,491,491,0,491,491,958,467,491,491, 4
"[74]AKHNqoaGIJqAzLlOPrkrLwFOLkjhkzxDfclHikKhAAyeLBwKeOPaAlOIDxqotEfqbypopOFpqz",1.18305e+29,2.53794e+12,2970,0.670951,3112,1024,2088,1024,1024,0,1024,1024,1024,1024,2088,1064, 40
"[108]KJyrsyGLqINfvFKzAfExiCuEKmAaBEGMDKlimvetmamJzlzptGakbbjngByjhzewIRcwHevEsDmeDrsEPwNgCzhmxxvwNEvMMyFzeCmROzvR",1.95312,1.95312,2509,1,2,0,2,0,0,0,0,0,1,1,1,1, 41
"[98]bvgsGJnbaHRawfabFfIKqxnuqhpEdzeJQlOdAHFeiacsfCEbFOQRqdyBiNhhpAonaCPGCqfHKaMscHwnxBmyrKPolGqapRpdqF",1.18305e+29,1.49814e+10,2691,0.66055,1308,444,864,444,444,0,444,444,864,420,444,444, 42
"[92]ccLcbEkcBfLFLkcMchccjcNKLcdcopHkrnlxmuxNIMOxgfvccucEcnBNcJKAARRbHcHrmcjPGscQKrHzLhcrcrucqePr",1.18305e+29,1577.72,245,0.666266,4162,1389,2773,1389,1389,0,1389,1389,1389,1389,2773,1384, 43
"[96]CPaGPxORDKgcKqPrjCcHfpIBFdmgFtsdnehtaEmCfGdHDChpFIoajnazOuDzhiRRPdccRJHcNeQcmRpdqpcbcdIIBcfKPcGA",1.18305e+29,1.38179e+08,654,0.677116,957,309,648,309,309,0,309,309,648,339,309,309, 44
"[104]kaKJjKnjJwHmgItGpPGqlKBkEoktAquPlRjnMIoofqqQJojgBGHzyJvtgyNrynLyyJDPqhMqsHxlcsCpNakgGiroEtpcvkajJKFCJvBj",2.44141,2,1036,0.8,5,0,4,0,0,1,2,1,4,2,4,2, 45
"[112]JKyvGqMJbiOAjnFFdMsqkwbRRqdagxqdqcDtdAAJLItCiDLnMmNIIynDmMJtoOrbdDnJRAfLvLIigADscJCMDdhgInHGagIvjMRECAapzEbdeQMw",1.95312,1,2528,1,2,0,2,0,0,0,0,0,1,1,1,1, 46
"[85]QMAzffuckifNRmEPdJmraBfszGcDpLQHftevDuRwrdxJBeaHfqbfeIDaeheFeKqQbxbPDqyseaahhmFqtJflK",1.18305e+29,1.29943e+12,1535,0.665587,1235,412,822,413,412,0,412,412,823,410,412,412, 47
"[124]cEtGNwKNOwjGOagBqBQMioRtPwgooplQRaRBLsoIQKChxBRvegcPhJtCRydLDBBJteuDswADjdgGKcpbyLQFEEACiHnPHJnhCyEQtGwGdCBDQkbIbmibxskcrNpp",2.44141,1.5625,2563,1,3,0,3,0,0,0,0,0,0,0,3,3, 48
"[80]PKbeGqmtttJCafeCqcdNjNiPbpuJFALufmfhyQCfBPzfBnmnhGczPNmmkIFfnguIaKoHmktQnxykvOel",3.8147,1,2555,1,5,0,5,0,0,0,0,0,0,0,5,5, 49
"[80]iKKJsbGOaBqfpxaweaBfdLxCEJgdgLGwuvsFFHKnCfaghsaCqzefxqBlQKzaaqPAKIJrPhwFbKAmlRlG",2.44141,3.44141,2437,1,3,0,3,0,0,0,0,0,2,2,4,4, 5
"[82]KLOvGBkKitGkaCdGfelnryRCocmlnzBInwNmcCMcDbjCkpxeDapdRiwgzlRiFvCwGzxjGRzmIvApkoBfiD",1.95312,1.25,2465,1,2,0,2,0,0,0,0,0,0,0,2,2, 50
"[93]BKuGHKmqjQxDaxQKMPNpHiMdibHgPINBFiwFCLwJieknGijMmdARennCBJhtaAvCjHDRxfIjpcLNikqIpbFQnoRIbPJwr",2.44141,2,2541,0.9,10,5,9,6,0,0,0,0,0,0,316,11, 51
"[93]KGjAfkQLODwhwpxinvsFPKnnfNCdgojhGeOejPdHFGxnuJJktdjNJBjoHmOHKnpBMueawdnuRGOQEegwCzglBHHmvGKlp",3.05176,1,2516,1,4,0,4,0,0,0,0,0,2,2,2,2, 52
"[74]hKHbRDoqxMbivaCxEtFmPcNzDRFOGFQizpheCuQErfIELeHzucyznaLqohKcdzHjKKDFCfEaIJ",1.18305e+29,4.29944e+14,2219,0.67117,3479,1144,2335,1144,1144,0,1144,1144,1144,1144,2335,1191, 53
"[88]JKtGCogRsIfQMDhmLsBjwnMLfnhMNeLKnQQPdetriCbxLaMNovdzvkqDQNexfNfoMgDpobzwyjbzeNHcENnwjqdD",1.95312,1,2432,1,2,0,2,0,0,0,0,0,1,1,1,1, 54
"[98]ngOIoKPGJMpDadwkHHRdqReFCOLEnhNfgMqcKwOerQFjnyKLAMpwCPRDmFHDqODuKAhnNqxymDjzNqAynbEhtNCbwPiJmiwgll",1.18305e+29,1.48368e+07,635,0.667355,1452,483,969,483,483,0,483,483,969,486,483,483, 55
"[26]jcdbwNcJDeeyNdqHcocpqnIHKL",1.18305e+29,1.13805e+17,3457,0.999576,2358,1,2357,1,1,0,1,1,1181,1180,1177,1177, 56
"[125]ADiedaDmxjEwJHhoDqaljrixteIKqdOgdKGoPpsFKAqweyfrzaAprHuveaeBrCrDHQpMgCOpudIvDoNkRIdGbkxnGBFevjeatridLCepknNwPasKCmulQkIsdiAdL",1.18305e+29,2.72509e+11,3519,0.657126,1712,586,1125,587,586,0,586,586,1126,539,586,586, 57
"[103]doQBaarCtLsgdPjOOnEOIbkEPqDKoGaEOoeKjzRFDLyoKCynKfIaFMuBeGGiLlLljscMHLeLuJMbIHcNcqajeefpeecbebdfMNcQIKq",1.18305e+29,8.23609e+08,1024,0.667366,2384,793,1591,793,793,0,793,793,1591,798,793,793, 58
"[103]gPoDpkLBQCrqGODveQBNiphplDvNhiCCpMkugktGojIcDqJqpRJObKQaeMGuaccdbaaHFcNqoecRlcFIkcqDQrFrLOwKEQxuQKMoclc",1.18305e+29,5.6598e+07,1908,0.668824,26572,8800,17772,8800,8800,0,8800,8800,8800,8800,17772,8972, 59
"[107]JGoMdPRPFOsFPNnbfLqqgnyNJohIpAjAHwoymrPdiheGDoxwwDQMhQmNHtNssidNBuihBPJsftpmPDRKGqFKHpHHJyuLnewuBAsdswNclmK",2.44141,1,2529,1,3,0,3,0,0,0,0,0,2,2,1,1, 6
"[94]KkilJDEPfuahfhsxGCKRDukaruchpMRnRKuJGKmuGjsQoeyFEabHNguJAJGeEwAMeMGlpnagDagszrugjauBmCRRcHrzvG",1.95312,1.95312,2548,1,2,0,2,0,0,0,0,0,1,1,1,1, 60
"[123]JucJacDerjzJAalBFijkDIPfOgjRHmujFONGdbNKeyLDtpEsvPOwbAccFpqhNEjbAeyCbhFaJjgnxQhIeJngKshbxkKCEzJbzegNbrwvlnhGleKtsAEIlLiCjgr",3.8147,1.5625,2472,1,5,0,5,0,0,0,0,0,5,5,0,0, 61
"[84]JJsGgQCJRHbABiJIBrtBdltebCDnjGhAlcaFjwPbpGRjEnhlQuakAACHkBmgermpJNlrDnaPfLhpFKnxLMul",1.95312,2,2529,1,2,0,2,0,0,0,0,0,12,3,0,0, 62
"[80]HprGJBHnsEGqFxsDPQRcDrhEGHkzuxCjiKdegKhmanxBpDxwjpAvxqMgpOBGmPOGkfEtqLouQRMyMmEf",11.6415,2,1840,1,10,0,10,0,0,0,0,0,17,15,0,0, 63
"[70]JaaGrongQAnFCMCFbHixdPzmbFzNxLGGJOkMbjCacGgNcyJfyxAPLniOsEmlKDblCujmFM",2.44141,2,2543,1,3,0,3,0,0,0,0,0,6,4,0,0, 64
"[109]JHNJHoIDernoKJjqDtsiuLduNhKcEgLiAacsgHbCClsLjffmFNyyDNqHIKAcExkRclvziwgIuvrCFxlIccJPHHLqcQiFAOulCaxlMPuNqgQRa",1.18305e+29,3.65756e+10,3694,0.659401,3074,1047,2027,1047,1047,0,1047,1047,2027,980,1047,1047, 65
"[96]KGcjQALaLPgvJFbqtAinQdBoFRAaPKnimtioMONezqqqubBEixpOkwdubcfkDmuGCbRGrCwMEfHgGQRRmRHBOwxERknurCxk",1.95312,1.95312,2526,1,2,0,2,0,0,0,0,0,1,1,1,1, 66
"[97]owtcEqzlRhbmcAxOxAbwLDDPLxePzvhmkvsqMwQeEqaIJrikLlrcGijnLPJeHcOcoqtcffcajccPcFQfDFkcIKCOrctFcyMGi",1.18305e+29,2.6988e+08,508,0.666782,8640,2878,5761,2879,2878,0,2878,2878,5762,2883,2878,2878, 67
"[80]DqkNGwJBeaHcqbILeQKqcCnGxNgLtpukBKxHObLuCvwsbwPudIwJIxjJjliNrmRjHQrkChCHGMksGxAx",1.18305e+29,7.21326e+13,2307,0.544033,224674,102444,122230,102444,102444,0,102444,102444,163328,60884,61346,61346, 68
"[102]KGbFopeabKghNKPvkRRNMIrIhshdlMPgmADDPncmFvJMOjkFlzEhAqnKLhcyjOQoLBBwGCwDpdHjJdbQsLsteEQbObMfyoGqOcrRhm",1.95312,1.5625,2479,1,2,0,2,0,0,0,0,0,0,0,2,2, 69
"[102]BJMNczlODthGJmvjGPzmNAPvADyQppfJCGkuxmRpdyxAHaaiDgOgEtKIjOKEybvcBMtNoMgxajDzPbhnudNAotzDMiybxmqwGocmEy",2.44141,2,1157,1,3,0,3,0,0,0,0,0,6,3,0,0, 7
"[105]ucxDzhvopQKcoddkMfnHicHQqtLkmMbbNCjmcIEncwbCcLxMcmzJfbgickKkcaAxcRtjjGCCAsBHumeKMvsspLNbaLIfshvtxDmvEpnlo",1.18305e+29,1.18305e+29,492,0.667193,5697,1896,3801,1896,1896,0,1896,1896,1895,1895,3802,1906, 70
"[104]KLwGcJowGKNQFEtQeeHwRJKDnrOvsCytLOxEbLDCdQayEOMpAxeRbGGCmMoorlixOncELukdRBDaRcsCappHKiuJBpQRIuLbFhujygBI",2.44141,1.5625,2481,1,3,0,3,0,0,0,0,0,1,1,2,2, 71
"[97]RJwzyuqFLonumvNvxLbvlKBEtqlGqOzfhLjLRipBoMwyLQfyhblmFcyvddttJvccaceKxwccacHcNcCFcpcqbICtKfaqFveca",1.18305e+29,2.01076e+09,631,0.665205,23719,7941,15778,7941,7941,0,7941,7941,7940,7940,15779,7838, 72
"[103]syNdHiyJMtObGCqNROBzkfsCumcHnCOHmdhuhvwBxmlgKLOcbNwCNdHQBHpeGOIOKoqHwdCsLmidxBoatBbfGmEOOHLBPFgsQzbhfEi",1.77821e+17,14693.7,2459,0.682474,485,154,331,154,154,0,154,154,331,177,154,154, 73
"[68]KMGMOOhlLGoRDrLGzGikAaNCqhGJAsoKkyCCqPxHpwnzOzwRsyjIHwKvJGHpjnsAGqwc",2.44141,2,2507,1,3,0,3,0,0,0,0,0,2,1,4,2, 74
"[99]KENqkfrpeAaoIomvFnfwxbkKEKltwoGqqrkIjqKNRuBnNcPaDzNEoPjDhyLClwKQnbxdkRmgGIjHqcrtahyRcohnHypQnCOBeKJ",2.44141,2,2558,1,3,0,3,0,0,0,0,0,0,0,12,3, 75
"[101]cPRRwccIPcQbcmbEccMgcDcscfyccccBscyfvicccMqzmcRgclclczcKnccmcdzudcckncNfccOpfBcLvAtccJomPcccgcBfHcccP",1.18305e+29,516.988,129,0.671636,2482,815,1667,815,815,0,815,815,1667,852,815,815, 76
"[109]JKtGqDAtFQvbFGnLcDycvjxAKvfkevdQwEOQQNaOvLJLylgERANuqiyCHcHrtHdQmRmbIJqwbqENFsxjlQxcOhkGGEOyHPvpsaawxhBJAElRH",1.95312,1,2522,1,2,0,2,0,0,0,0,0,1,1,1,1, 77
"[106]xOjoaipIxglluNEGDLcdLpdPDgRhvnbEiDFJcRAMcIcFdFBOGhgErIRcpJfimJpLjEboJscfaefcebcfdKbHbRapefbwFLapIROGPGdesM",1.18305e+29,2.92605e+10,2045,0.667218,226223,75283,150940,75283,75283,0,75283,75283,75283,75283,150940,75657, 78
"[82]ChNINaMxOgDMHGPCnxJEHNbqDHoCBkBfoEhtMfQtaoPInKqlMbNHjwxHaehGJcmDdqzAnqJpCqkaafkbOs",1.18305e+29,2.72509e+11,2335,0.665532,32900,11004,21896,11004,11004,0,11004,11004,21897,10893,11003,11003, 79
"[114]KNeFHyMDyNqImBmrfFjlcjbJKqkruIqIAqJuQLGhBkcjsNdCnlDbkBayOFqAgwtIjdiwjfLMpxmPkqFBBntaufekQojhciQDgoGxirzBnqrzhgGkwo",1.18305e+29,3851.86,1428,0.666673,149640,49878,99761,49879,49878,0,49878,49878,49878,49878,99762,49883, 8
"[103]tcOdDfCchcxcmbHccRBHhfcMbQagcBugcItlcCcFEtscKcvcwwcnqPkOcnvcKxfwhbHcwiOICcOcJccJPldQcccsxcyjmpcfcwgcNjh",1.18305e+29,11754.9,198,0.657629,1586,542,1043,543,542,0,542,542,813,561,773,482, 80
"[121]NgDsHKnvJttiGqnAnNmuvmExPxoFQLsgBznRReKOqvzukDfcgmIarsgxkPkRzQglkOgMdEnpnQfMbyaedlOfCNALMaHsNlLfMyQDAhLPCLlcqAlAIriyfbteO",1.95312,1.95312,2572,1,2,0,2,0,0,0,0,0,1,1,1,1, 81
"[76]oCiOotsAnbkFEDddIJQeaeddKMeOHDedjhnRbKHbPxxdRkEDexMEDseyqyrsKbHpDBkKuGGllojG",1.18305e+29,1.19851e+10,2706,0.669482,10302,3404,6897,3405,3404,0,3404,3404,3404,3404,6898,3493, 82
"[128]KGzrKpLfoOuFfzPgoalpxsnOHtxkBAtLEtisbgjxMfrMchhNqzGdacOQmqPJuuMvxnuwibaLvusgIQklAaevCQtzOMNvmxmiiFCjALxDsHuDQaRnPtLqmnaObIPpqKMw",1.95312,2,2513,1,2,0,2,0,0,0,0,0,0,0,6,4, 83
"[100]pAcccxcociccccNALccgcwuEgJHccccoCvccccOLEcceceIbFjctdAcqccnQdcccwcychbpcbwcKccAocPcqccLcNQoccrcciFBm",1.18305e+29,1972.15,99,0.673344,3894,1271,2622,1272,1271,0,1271,1271,2623,1351,1271,1271, 84
"[83]yjRzQiLbIbKnoyifJgtNICfoGbsQMrOyhCCyKHcRjpbbdbgIDcfJCMuCIxHokirIcRyyhzdirfIyPFhFtqO",1.18305e+29,2.75164e+14,1596,0.666538,90550,30195,60355,30195,30195,0,30195,30195,30195,30195,60355,30160, 85
"[65]oeRNajsEiDvMIxEAGytKHcobqAPdnIJqlAsvoFzDJHcJCHjMtJHMwANjIMKwjoukh",1.18305e+29,6.65306e+11,1789,0.671533,1096,359,736,360,359,0,359,359,359,359,737,377, 86
"[97]BpaBKLHbRqqmvtRQBQgRfJEycLsbMedHCyLdirbIdHfeJNqvsQoopoDHuLDRMIJqFwduBEwEkJOvNxazMomdAxdauLhjFPRPp",1.18305e+29,5.32245e+11,2879,0.664854,32735,10971,21764,10971,10971,0,10971,10971,10971,10971,21764,10793, 87
"[92]KEGqBAjgmhJmLsAtFzOrFidvKFqmGcfMddlzehAzOkMciAEdpKkMBmNyxKfqDQrtBxzIiOcCGJnLpClCfCHMgtneCxKd",2.44141,1,2553,1,3,0,3,0,0,0,0,0,1,1,2,2, 88
"[116]JsGpsMmmQbCMKEFCouHixBaKoRqdaMmBczjmsphOjfbaRnFevxqjnHOMlaPowydgyhwjPEOdRpwFBbjKwbyOrtkAsvFgnsRakyaQBdqGyHQPgurhotIu",1.95312,1.5625,2498,1,2,0,2,0,0,0,0,0,1,1,1,1, 89
"[98]lcKccPcccccccccccwfDccscqcGlnJOckmeNxcNzrcbEcHcMBcxcxcRIcgJccNcicwcQcpchfLdgQLLfzchcLdedocFldvPtcM",1.18305e+29,6018.53,187,0.682283,1174,373,801,373,373,0,373,373,373,373,801,428, 9
"[110]JKFGqRDLxHEDFDOmROJmPhbHxAwmLlQNQsktdldohrBJdhkGOMtGhchvKilcoRtxsCLnBDsvvEpxxFfAFKJhkIahcqLPgiHaCPDDQMCublvCqA",1.95312,2.95312,2521,1,2,0,2,0,0,0,0,0,3,2,3,2, 90
"[94]AMQMucLwKnccomHdRcNmNGuAncacpcHcpnuCcjclojeMjlucfgIvxcJCLHvPjAgRGutRiaIplEQhAzvikDzOeKwcewLzEr",1.18305e+29,1.18305e+29,462,0.675155,1453,472,981,472,472,0,472,472,471,471,982,510, 91
"[103]JpqkjpoHnNsfPJyLlHcGNxMEoqNaqhGhEKfjuoocJtyrMjRDqIaluOPGMGlHqIRFCIxzdBAaNRvEBQqmIIHrLECgojDihpFGypgejsH",2.44141,2,2500,0.615385,13,4,8,1,4,4,8,4,6,4,4,4, 92
"[95]BJHNqIjKqltCAMbAfpeOLOsGpwkvHzmrowKslfxpyQcEpPlCEriBcJjtyFnfMKMKLkBcMdMhNDAFqjBEdGEqIdAxFQFzudQ",9.37311e+25,3.69319e+13,3014,0.677763,751,242,509,242,242,0,242,242,510,268,241,241, 93
"[83]KGlivJnGlfmcvLsxCbfOvxhervLeFsnnJhwnqfuFghFrRrJqkhQDuCFvDBrdcRgRyJEHrQuAazDOdyoMHjs",2.44141,1,2504,1,3,0,3,0,0,0,0,0,2,2,1,1, 94
"[91]JPnJuGECIxksqqykIAfvJtPdqrnPykOebBbJcaIByeIecLjprmpdrqvOgDcGtaRFpckDgpoEwjhLDjaAnIgzkfFnhvi",1.95312,1,1995,1,2,0,2,0,0,0,0,0,2,2,0,0, 95
"[106]RQhymioBAFLbNccoHLAPDaggnpQFbpDgFRBBiFKNdEgftnEnMbgJDFkGFgfNpmjuBdpRmhsJPfdfeaLHcqqaaEPccffxIKqdPypwFhlzFx",1.18305e+29,1.49814e+10,1773,0.674322,958,312,646,312,312,0,312,312,646,334,312,312, 96
"[110]KuGJNMumsrKtFsyCAQyRIerMKDwcminpPziPrHQEedCQhgCmpLhyjjFstfvECvixilNpGNRDLoavOEmOOtfRnOMbkHJKOKdCJfxgHgNHjMMrtb",2.44141,1,2475,1,3,0,3,0,0,0,0,0,1,1,2,2, 97
"[97]KKzGFpafJOxJubfADaqGtGQEpyCKpJcvIicahnghqhruLFJfgOgKJCdbtgCRDFBfEJNkpsqyIsDIQgemRcciMxwRLxmoQmQhM",2.44141,2,2537,1,3,0,3,0,0,0,0,0,5,2,10,5, 98
"[129]JuOvpIsGLDBdcaHiyPHJKlOqNLKGgMkdEhaGkRpCkRNHrdvkjmIwoBdvHynopfMnFHCuNCCQtFuCyKNauyMgEIdHKmweHBdPvdzicQsGgEtnofmkherPnuuGCOoocFpRs",3.05176,1,2555,1,4,0,4,0,0,0,0,0,2,2,2,2, 99
